1;Gostei de um vídeo   no estúdio: João Amoêdo, do Novo;I liked a video in the studio: João Amoêdo, do Novo;Neg,Neu,Pos,Compound;0.0;0.741;0.259;0.4215
1;Gostei de um vídeo   Chamada entrevista João Amoêdo | Segunda Chamada #17;I like a video Call interview João Amoêdo | Second Call # 17;Neg,Neu,Pos,Compound;0.0;0.762;0.238;0.3612
1;Segunda Chamada entrevista João Amoêdo | Segunda Chamada #17 ;Second Call interview João Amoêdo | Second Call # 17;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;Gostei de um vídeo   Eleições: João Amoêdo – Parte 1;I like a video Elections: João Amoêdo - Part 1;Neg,Neu,Pos,Compound;0.0;0.667;0.333;0.3612
0;"Você acha que o governo deveria fabricar camisinhas? Eu entendo que não. Geralmente, o produto produzido por uma estatal é mais caro, de pior qualidade e abre mais espaço pra corrupção, dando mais poder a políticos e chance de nomeações políticas.
";Do you think the government should manufacture condoms? I understand not. Generally, the product produced by a state-owned company is more expensive, of worse quality and opens more room for corruption, giving more power to politicians and the chance of political appointments.;Neg,Neu,Pos,Compound;0.075;0.827;0.098;0.0094
0;"Deveremos ser a mudança; o país agoniza na falta de justiça e na corrupção; nós , o povo, não vamos mais aceitar a impostura; vamos mudar, virar o jogo nefasto.       @";"We should be change; the country is dying in the absence of justice and corruption; we, the people, will no longer accept the imposture; Let&#39;s change, turn the game nefarious. @";Neg,Neu,Pos,Compound;0.062;0.767;0.17;0.5859
1;AGORA! “Segunda Chamada” inédito no  com a 1ª participação dos candidatos à presidência. Todos foram convidados e o 1º a aceitar foi João Amoedo (NOVO). Falamos de política, educação, cotas, drogas, aborto e, claro, Copa do. Assista aqui: ;"NOW! &quot;Second Call&quot; unpublished in the first participation of candidates for the presidency. All were invited and the first to accept was João Amoedo (NOVO). We talk about politics, education, quotas, drugs, abortion and, of course, the. Watch here:";Neg,Neu,Pos,Compound;0.0;0.929;0.071;0.4389
1;Gostei de um vídeo   Chamada entrevista João Amoêdo | Segunda Chamada #17;I like a video Call interview João Amoêdo | Second Call # 17;Neg,Neu,Pos,Compound;0.0;0.762;0.238;0.3612
1;"Checamos a história divulgada por  de que ela foi ""interrompida 62 vezes"" e ""vítima de machismo"" no . Comparamos a entrevista dela com a de  e  no programa.
Ajude-nos a criar a Agência Caneta de checagem:  ";"We check out the story because she was &quot;interrupted 62 times&quot; and &quot;victim of machismo&quot; in the. We compared her interview with that of and in the program. Help us create the Agency Pen check:";Neg,Neu,Pos,Compound;0.0;0.873;0.127;0.5859
0;    . agora é pré-candidato a vice de   e para o senado pelo  teremos ;. now is pre-candidate for vice to and for the Senate for we will have;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;Gostei de um vídeo   Chamada entrevista João Amoêdo | Segunda Chamada #17;I like a video Call interview João Amoêdo | Second Call # 17;Neg,Neu,Pos,Compound;0.0;0.762;0.238;0.3612
1;👑João Amoêdo empata com Geraldo Alckmin em pesquisa de intenção de voto ;👑João Amoêdo ties with Geraldo Alckmin in poll intention;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;"BECO - Vaguei (Prod. Amoedo)

som completo:  ";BECO - Vaguei (Prod. Amoedo) complete sound:;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;"NÃO GOSTO DO BOLSONARO.

Não votarei nele (1a opção Amôedo do NOVO30 2a opção Flávio Rocha).

Só voto no Bolso contra a esquerda. 

Mas nesse caso, ele seria denunciado no mínimo por assédio sexual

Mas até estupro sério possível.

Há uma clara união contra a candidatura de Bolso ";I DO NOT LIKE BOLSONARO. I will not vote for it (1st option Amôedo do NOVO30 2nd option Flávio Rocha). I only vote in the pocket against the left. But in this case, he would be reported at least for sexual harassment but even serious rape as possible. There is a clear union against the candidacy of Pocket;Neg,Neu,Pos,Compound;0.158;0.757;0.085;-0.694
1;Se o  , q tenho carinho e respeito, tivesse optado por votar em  , queria ver esse povo, inclusive esquerdista,curtindo e dando RT nele. Me atacar é mole,né? ;If the one, who I have affection and respect, had chosen to vote for, I wanted to see this people, including leftists, enjoying and giving RT in it. Striking is soft, right?;Neg,Neu,Pos,Compound;0.0;0.679;0.321;0.9062
1;Sensacional o cartaz feito pelos apoiadores do NOVO em Minas. #VamosRenovarTudo ;"Sensational the poster made by the supporters of NOVO in Minas. Let&#39;s go to renew everything";Neg,Neu,Pos,Compound;0.0;0.838;0.162;0.4404
1; Militância disfarçada de jornalismo presta desserviço à sociedade. Só pra ilustrar: eu voto no João Amoedo.;Militancy disguised as journalism renders disservice to society. Just to illustrate: I vote for João Amoedo.;Neg,Neu,Pos,Compound;0.13;0.87;0.0;-0.2732
0;Os políticos do NOVO se recusam a receber penduricalhos dos salários. Os 4 vereadores eleitos em 2016 já economizaram juntos cerca de R$ 4 milhões em um ano, com cortes de privilégios e com a redução do número de assessores. Partido político não é tudo igual. #NOVOediferente ;NOVO politicians refuse to receive wage bills. The 4 elected councilors in 2016 have already saved together about R $ 4 million in a year, with privileges cuts and the reduction of the number of advisors. Political party is not all the same. #NOTEdifferent;Neg,Neu,Pos,Compound;0.094;0.705;0.201;0.6124
0;Conheça o pré-candidato ao Senado de SP pelo , . ;Meet the pre-candidate for the Senate of SP by the,.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
