Word,Count
evento,12
organizado,2
Desperta,1
Tucuruí,1
Pará,3
b4Ges06AUo,1
nomeação,1
secretarias,1
vício,1
velha,10
política,122
defende,59
entendam,1
assunto,34
invés,15
servir,5
moeda,3
troca,5
negociações,2
NOVOediferente,5
dnIQdTppOb,1
pior,51
isento,4
Amoedo,342
intenções,6
Brasil,232
eliminado,5
Copa,25
Bélgica,6
resposta,30
padrão,4
eleitores,18
Dória,8
Bostonaro,1
lokinho,1
MBL,10
VemPraRua,1
Privatiza,6
melhora,3
liberassem,1
porte,12
acontecia,1
intervenção,3
militar,2
Pethê,1
Infelizmente,24
chega,32
ideais,7
pensando,9
Scruton,1
hj,16
atras,1
gente,86
contentar,1
Meirelles,20
Alckmin,44
Aparecemos,1
conhecida,2
conhece,11
decidiu,3
onda,4
laranja,18
crescer,9
mudança,34
depende,5
O1k8C6gCMV,1
sabia,18
dinheiro,116
financia,6
recebem,9
milhões,13
fundo,23
receber,6
bilhão,8
uso,26
público,31
divulgue,3
vídeo,37
vzaXLpeQc1,1
Meireles,6
usam,4
Câmara,12
federal,12
campanha,47
pré,8
eleitoral,9
candidato,178
escolhido,7
Bolsonaro,248
interessante,10
Tucuruiense,1
nascimento,2
fico,10
feliz,13
trabalhando,10
enraizando,1
visto,14
demorar,2
amadurecer,2
iguais,8
criança,14
super,14
empolgada,2
abrir,14
Natal,1
kkkkk,19
desonestidade,3
deveria,47
critério,3
exclusão,3
honestidade,7
obrigação,6
VamosRenovarTudo,117
NOVO30,17
administrando,1
rico,11
seguro,7
recuperando,1
economia,18
lulopetismo,1
Amoêdo,83
criando,4
partido,336
bravateando,1
diferença,16
Ciro,46
mudar,39
apoiar,21
Conheça,11
XOXRVc7QZr,1
Lotado,2
Parabéns,43
kkkkkkkkk,3
FHC,69
sequer,8
pessoa,31
fala,63
comigo,6
tb,29
perde,10
status,2
cara,143
sujeito,9
palhaço,4
ve,6
errado,25
video,10
bobo,5
gados,1
idolatrando,1
séro,1
votar,94
tendo,12
poucas,2
preparo,1
nenhum,47
pqp,8
Opa,6
pedido,11
voto,160
configura,1
propaganda,10
antecipada,1
vedada,1
legislação,4
liberado,2
errada,6
y46oRLUABz,1
vereadores,8
existentes,4
fizerem,2
bilhões,5
reais,11
Cocielo,4
racista,5
propositalmente,1
erro,19
mundo,64
erra,1
perdoar,1
Fernandinho,1
gol,5
totalmente,10
querer,15
lixo,17
mata,11
macaco,2
morrer,3
serve,12
Eis,3
Alô,6
timeco,1
montou,1
saiu,8
cacarejando,1
Chupa,2
menino,6
buchudo,1
FN,1
últimos,11
torcedores,4
saíram,2
feridos,1
jogo,22
anterior,2
estádio,2
caiu,8
pedaço,1
refletor,1
torcida,8
diretoria,3
clube,5
manda,14
preocupa,5
segurança,18
Encontre,2
t7mWb6qc8E,1
eleição,13
derrota,6
pro,76
latrocidas,1
marmitas,1
tralhas,1
aceita,12
barraco,1
quebrado,1
casa,34
qD60GSWL0o,1
haha,3
issooooo,1
inveja,3
apostaram,1
articulação,2
deputado,55
inclusive,27
trata,8
taxar,2
clero,2
Rocha,8
trataram,1
moer,1
medo,17
viabilidade,1
Pau,10
la,246
banco,41
WBw8B6c1Zi,1
professores,2
interior,2
quase,26
profissão,1
valorizada,1
correr,5
emprego,14
formei,1
escutei,2
precisa,53
arrumar,1
padrinho,1
prefeitura,3
