Word;Count
Brasil;2829
candidato;1558
via;1507
paÌ_s;1376
copa;1339
EleiÌ¤Ìµes2018;1325
gente;1248
outubro;1091
brasileiro;1086
voto;1025
Lula;992
votar;946
polÌ_tico;886
presidente;793
eleicoes2018;789
partido;778
polÌ_tica;729
STF;661
prÌ© candidato;640
PT;632
melhor;604
Bolsonaro;589
esquerda;574
governo;558
cara;526
falar;514
fake new;502
resultado;487
merda;486
pior;467
copa mundo;462
eleiÌ¤Ì£o;450
BdC;439
futebol;437
mundo;437
Lava Jato;401
ficar;400
golpe;400
presidenciais;396
espero;386
eleiÌ¤oes;385
jogo;376
medo;375
corrupto;369
ninguÌ©m;369
Ì¼ltima;364
Lula Bolsonaro;357
Bolsonaro Marina;357
ai;356
importante;353
Jair Bolsonaro;350
clube;348
eleito;346
alguÌ©m;338
pensar;337
democracia;331
pesquisa;330
bandido;330
Setembro;323
Ì©poca;320
debate;317
pesquisa Ibope;316
problema;314
PSDB;309
foco;307
Ciro Gomes;303
falando;300
eleicoes;299
hexa;297
mudar;297
ganha;293
pro;292
Marina Ciro;284
galera;283
vida;283
eleitore;283
urna;280
dias;271
ja;267
perder;266
evento;266
triste;266
muita;266
vencer;258
causa;258
corrupÌ¤Ì£o;256
amigo;256
Bruno Carvalho;256
precisa;253
Gostei vÌ_deo;252
disso;251
esperar;249
fraude;249
eleger;248
aponta pesquisa;245
conta;244
meme;243
certo;243
frente;242
acabar;240
fala;240
claro;239
queria;238
redes sociais;238
campanha;236
comeÌ¤ar;236
focar;234
populaÌ¤Ì£o;234
daqui;233
preso;232
acabou;231
vergonha;231
sÌ_cio;231
Temer;230
coisas;230
LÌ_pez Obrador;229
LulaLivre;228
Olha;228
turno;226
acha;226
direito;226
fazendo;226
semana;223
mÌ_dia;222
assunto;222
comunista;222
limite gasto;221
volta;220
infelizmente;220
sair;220
lei;218
venha;217
realmente;213
acredito;212
dinheiro;212
divulga limite;212
fato;211
ganhou;210
internet;209
chance;208
TSE;208
proposta;208
ideia;207
mim;207
TSE divulga;207
vitÌ_ria;206
projeto;206
Precisamo;206
Ciro aponta;205
Trump;204
continuar;203
caso;202
seleÌ¤Ì£o;202
voltar;201
acontecer;198
podemo;198
chega;196
alguma;195
acabou copa;193
Twitter;191
Deus;191
rua;191
jeito;190
golpista;189
copa acabou;188
quase;187
comeÌ¤a;185
julho;185
entrevista;185
concorrer;182
passar;182
futuro;182
livre;182
urnas eletrÌ«nica;181
deveria;180
mÌ£o;176
Copa2018;174
eleitor;174
lixo;173
histÌ_ria;172
motivo;171
colocar;171
derrota;170
Congresso;170
feito;170
comeÌ¤ou;169
disputar;169
eh;166
vejo;166
atenÌ¤Ì£o;165
porra;164
chapa;164
tirar;164
PropostasDaIndÌ¼stria EleiÌ¤Ìµes2018;164
so;163
pessoa;159
venham;158
EUA;158
Retweeted;157
brasileira;157
lembrar;156
vota;156
candidatura;156
Lula preso;156
haver;154
etc;153
imagina;151
amanhÌ£;151
novamente;150
desembargador Bolsonaro;150
Bolsonaro dissemina;150
Ì_dio minoria;150
feira;149
dissemina Ì_dio;149
ditadura;148
vi;148
decisÌ£o desembargador;148
PolÌ_tica EstadÌ£o;148
esperanÌ¤a;147
nenhum;147
junto;147
algum;147
Confira;147
mano;146
ia;146
deixa;146
Dilma;146
mandato;146
BRABEL;145
pauta;145
Alckmin;145
Venezuela;145
vir;145
difÌ_cil;145
tb;144
preciso;144
vÌ©spera;144
pai;143
igual;143
mudanÌ¤a;143
decisÌ£o;143
opiniÌ£o;142
pronto;141
perdeu;140
forÌ¤a;140
poderia;140
intervenÌ¤Ì£o militar;140
notÌ_cias falsas;140
Lula solto;140
ruim;139
senador;139
Ì¼nico;139
mulher;139
sÌ©rio;138
real;137
Calma;137
fÌÁcil;137
participar;137
escolha;137
Paulo;136
pensando;136
Ì¼nica;135
decepÌ¤Ì£o;135
voto impresso;135
Ah;134
parar;134
petista;134
prefeito;133
olho;133
diferente;133
caralho;132
Lula livre;132
feita;131
pergunta;131
imprensa;130
Brasil copa;130
vendo;129
continua;129
MDB;129
ok;129
casa;128
respeito;128
programa;127
guerra;127
militares;127
governador;127
mentira;127
agosto;127
haverÌÁ;127
prisÌ£o Lula;127
espera;126
forte;126
vÌ_deo;126
processo;126
rumo;126
passa;126
cidade;126
perÌ_odo;125
ParabÌ©ns;125
viu;125
economia;125
tristeza;124
culpa;124
levar;124
situaÌ¤Ì£o;124
interesse;124
Brasil perdeu;124
ex presidente;124
sai;123
mulheres;123
passada;123
TV;123
sido;123
prÌ© candidatura;123
tava;122
luta;122
foda;121
limpa;121
irÌ£o;121
fraudada;121
votou;120
hj;120
lo;119
vontade;119
inclusive;119
gerais;118
fizeram;118
SP;118
candidatar;117
BR;117
Bruno;117
PresidÌ»ncia RepÌ¼blica;117
pena;116
tema;116
pÌ£o circo;116
time;115
Saiba;115
cadeia;115
passado;115
tbm;115
entrar;114
escolher;114
kkkk;113
realidade;113
politica;113
atual;113
acaba;113
jornalista;113
Turquia;113
mexicana;113
deputado federal;113
cenÌÁrio;112
desgraÌ¤a;112
data;112
naÌ¤Ì£o;112
pro Brasil;112
derrota bolsonaro;112
pessoal;111
prova;111
faÌ¤a;111
acredita;111
principalmente;111
existe;110
rs;110
vote;110
Leia;110
palavra;110
AG;110
Gilmar Mendes;110
Brasil existe;110
Marina Silva;109
gt gt;109
desafio;108
Bora;108
querendo;108
