Word,Count
referi,1
comentário,34
imbecil,28
referiu,1
perfil,31
preferir,2
presidenciais,9
Amoedo,114
Manuela,21
Haddad,49
Boulos,40
Brasil,401
Venezuela,18
Alckmin,2163
Ciro,24
mudar,83
melhor,266
Jair,4
Bolsonaro,1008
PSDB,640
prefeitura,37
SP,303
Serra,1
usou,10
trampolim,4
deixou,47
Kassab,2
herança,3
João,12
Dória,125
tentando,51
prefere,35
campanha,126
pro,149
agir,4
prefeito,90
cidade,78
Santo,269
milagre,12
junto,72
opçao,2
Reflita,3
viveu,5
período,14
guerra,29
fria,4
vive,36
fala,195
JUÍZO,2
justiça,145
mente,22
estados,26
RUSSIA,4
DIVIDIRAM,1
mundo,125
decidiu,9
ficar,123
quiser,35
RUSSO,1
Cuba,2
China,16
AVISA,4
MANDAMOS,1
realmente,63
sinistro,2
intelectual,16
prometendo,5
voto,471
evangélico,9
chamando,12
comunista,95
achando,17
esquerda,359
vice,71
banqueiro,23
apostando,4
pobre,56
feliz,19
Lula,624
cadeia,81
promete,11
cara,320
escreve,14
caixa,4
alta,8
leio,11
segue,37
frente,54
levantamento,4
Instituto,4
DF,13
Dias,54
Geraldo,2
internet,33
gritar,4
chamar,35
atenção,25
conteúdo,13
LulaLivre,32
ex,45
governador,102
pior,112
desempenho,11
disputa,28
razão,27
Aécio,170
bordão,1
progressista,11
procure,13
candidato,522
Meirelles,76
tarimbados,1
Amoêdo,42
renovação,21
faltar,6
gente,180
saiba,25
Refis,2
Ué,36
preferido,6
FHC,194
via,173
acredito,43
mídia,68
podre,23
acredita,50
importante,41
informações,12
democracia,95
ja,60
finge,7
apoiador,7
acha,129
estranho,21
barbado,2
papo,21
Robozinho,8
reclamar,10
mulher,57
pré,4
presidência,57
pesquisa,108
eleitoral,38
parceria,14
Jovem,9
deputado,70
seguido,8
Cc,5
Deus,69
livre,68
roubam,7
continuarão,1
roubar,24
opinião,80
irrelevante,19
político,263
corrupto,205
militares,27
serviram,2
destruir,15
país,313
corrupção,146
violência,17
relevante,14
vida,99
votar,191
turno,165
juram,1
Ah,65
investigar,13
presidente,319
exercício,6
Cadê,43
chupar,5
chuchu,169
tema,19
polêmico,3
resposta,49
aceita,18
ganhou,20
rejeição,24
opção,44
PT,413
grau,9
inocente,15
agosto,27
outubro,23
usam,12
golpe,75
superfaturamento,5
computadores,2
legislativo,10
SJC,1
comandado,1
possuem,11
inteligência,13
defende,50
possui,15
liderança,15
interior,8
contrato,11
Paulo,245
lamentável,16
vontade,24
petista,127
pedir,31
prova,99
afirmar,8
alguém,131
ladrão,81
julgamento,6
contraditório,2
ampla,7
defesa,14
ficou,51
comprovado,7
crime,41
cometido,4
Temer,141
vejo,73
