Word,Count
Gostei,17
vídeo,10
estúdio,3
Amoêdo,257
entrevista,130
acha,157
governo,245
deveria,130
fabricar,2
entendo,37
geralmente,9
produto,20
produzido,2
estatal,79
caro,58
pior,144
qualidade,45
abre,9
espaço,33
corrupção,112
dando,52
chance,116
nomeações,4
Deveremos,1
mudança,83
país,364
agoniza,2
justiça,44
aceitar,18
impostura,1
mudar,110
virar,16
jogo,74
nefasto,3
inédito,3
1ª,2
participação,18
presidência,22
1º,13
Amoedo,1092
falamos,5
política,277
educação,51
aborto,62
claro,117
Copa,85
Assista,19
Checamos,3
história,49
divulgada,3
interrompida,43
vítima,16
machismo,60
programa,137
Ajude,9
criar,32
agência,4
Caneta,3
checagem,2
candidato,619
vice,72
Senado,39
Geraldo,7
Alckmin,94
pesquisa,156
intenção,6
voto,413
som,5
completo,15
gosto,78
Bolsonaro,681
votarei,27
nele,28
1a,4
opção,77
Amôedo,27
NOVO30,42
2a,4
Rocha,4
bolso,57
esquerda,290
caso,150
denunciado,2
mínimo,46
assédio,2
sexual,12
estupro,14
sério,71
clara,29
União,18
candidatura,60
carinho,3
respeito,104
optado,1
votar,225
queria,54
inclusive,72
esquerdista,87
curtindo,2
RT,33
atacar,20
mole,7
Sensacional,11
cartaz,1
feito,83
apoiadores,19
VamosRenovarTudo,206
militância,14
disfarçada,2
jornalismo,18
presta,14
desserviço,2
sociedade,62
ilustrar,1
receber,16
vereadores,23
milhões,44
redução,9
assessores,7
partido,817
político,398
igual,91
NOVOediferente,5
Conheça,25
SP,66
kkkkkkk,24
curto,9
vzs,1
cara,410
bot,8
mano,47
sla,2
politico,50
bglh,1
aprendi,2
desgostar,1
fornecer,4
saúde,29
segurança,29
previdência,9
imbecil,29
porcaria,7
tamanho,14
único,111
pequeno,11
sabatina,22
vota,67
eh,75
melhor,300
presidente,229
vote,35
carreira,21
Acabei,20
conversa,34
pessoal,80
Associação,7
empresa,130
convite,10
Bloquei,1
paciência,6
merda,103
falar,209
genética,4
convencer,18
certo,99
like,14
msg,5
parecer,12
platéia,1
gerações,2
atuais,11
dependeram,1
mão,60
geração,19
idiota,63
acéfala,1
vitimista,7
Oh,3
termo,32
cabelo,10
cai,20
cabeça,40
sai,30
correndo,7
tendo,30
DNA,6
noção,12
Biologia,3
patife,1
peso,12
social,46
bosta,33
errar,5
pagar,71
lacrador,2
PaiChoraNoBanho,1
Oi,21
ajuda,39
divulgar,15
Basta,42
compartilhar,7
pedir,36
seguidores,24
mim,97
perdendo,16
audição,1
preciso,52
correr,9
puder,6
colocar,74
YouTube,27
tbm,81
reunião,16
religião,13
evento,53
Concordo,100
misturar,1
baseado,13
definisse,1
alguma,90
precisava,4
ignora,6
Miguel,7
perde,22
alguém,150
estadista,4
entende,29
economia,59
falso,15
moralismo,1
mata,23
fome,17
crise,32
econômica,30
Lula,266
militar,12
qué,54
Ale,3
arriba,7
processo,53
natural,12
acusar,5
natureza,2
discordo,10
Precisamos,80
la,622
chica,11
cantó,1
recién,3
hace,32
acordar,4
MICA,5
VICICONTE,2
en,246
TRIBUNA,2
MicaViciconteIG,2
Micaelistas,1
KCAArgentina,3
apóio,1
ideário,1
capitalista,2
liberal,124
religao,1
seguindo,5
linha,17
raciocínio,15
mulher,99
aborta,2
menstruam,1
Nope,1
compensa,9
Amanhã,27
19h15,4
vivo,46
Facebook,28
assunto,79
compartilhe,4
Participe,3
Brasil,586
escuta,3
porra,50
voltou,1
defender,74
masculino,3
Huahuahua,13
via,47
interessante,43
togados,3
trabalhando,17
praticamente,15
piada,60
pronta,7
graça,25
JASPION,1
CRACOLANDIA,1
chato,12
caralho,29
perfeito,22
ajudando,5
humano,20
boçal,8
responde,33
ai,96
passado,19
veio,27
Vitória,38
falou,106
caráter,13
so,62
teato,1
pejorativo,2
mulheres,36
auto,16
entitulado,1
cristão,17
Excelente,52
escalação,2
deputado,85
federal,27
resposta,103
ensaio,3
fotográfico,2
drogado,3
fake,25
vive,45
calúnia,2
asneira,8
dizendo,31
dialogando,2
tipico,4
Macri,3
entrou,26
onda,11
populista,34
corta,13
enm,1
maquina,9
resultado,48
brutal,2
povão,11
pagando,20
pato,5
cometer,7
erro,50
Chega,74
velha,26
politica,37
urge,1
poderia,56
RJ,20
urgente,24
governador,24
perfil,54
lascados,1
eleição,57
meia,9
jogada,6
lixo,42
cartório,3
lotado,4
dinheiro,196
completamente,18
improdutivo,2
daria,8
martírio,1
eleja,4
discutir,32
diferente,127
impor,12
confunda,2
nasceu,4
VELHO',1
vejo,80
participações,1
impossível,16
enxergá,1
lo,445
pestanejar,1
jogaria,2
criança,44
junto,85
água,7
banho,4
demonstra,17
conhecimento,26
primários,1
Nose,2
pero,142
ahora,28
Rusia2018,8
YoUruguayo,1
música,14
vecino,1
reflejo,2
un,169
espejo,2
distorsionado,1
cielo,2
solo,29
color,3
al,92
otro,14
del,130
Rio,36
con,171
libertad,6
ofendo,1
ni,44
temo,3
Oriental,2
vida,169
muerte,6
también,25
celeste,2
busca,14
el,337
canal,22
3er,1
foto,85
ig,3
rompen,3
Bailarinas,3
izquierda,1
derecha,1
Bahia,11
Blanca,2
4ta,3
maravilhosasbahia,1
nadinearigarcia,1
morecorribolo,1
repleto,2
atrapalha,6
desenvolvimento,23
reforça,4
vereadora,15
absurdo,66
TemQueAcabar,18
salário,36
recebendo,5
público,67
acabar,96
FimDosPrivilégios,3
prejuízo,22
vender,36
preço,37
banana,6
ponta,8
positiva,4
problema,227
popularizou,1
agrada,8
gostaria,52
presenciar,1
performance,2
infelizmente,77
exatamente,54
sucatear,1
emprego,34
disso,100
comprar,22
dobro,2
cumpadi,1
empresário,51
doa,4
campanha,116
roubou,4
define,4
Christian,2
colocou,14
