Word,Count
entendeu,132
metafora,1
congresso,296
camara,20
vao,52
continuar,200
governar,94
qq,75
força,276
Bolsonaro,12049
dira,1
defende,76
bandido,605
condenado,144
estupro,68
injúria,1
crime,340
corrupção,318
gt,60
apoiam,131
filtro,10
cometido',2
casa,351
ordem,90
necessário,82
Lula,1877
preso,270
greve,14
ficou,226
noivo,1
Brasil,2129
copa,158
mundo,955
presidente,859
caralho,289
FHC,236
apelo,14
PT,1111
PSDB,282
apologia,31
tortura,89
Paulo,128
governador,62
DF,46
via,950
REAPROXIMARÁ,1
EUA,199
reunido,9
presidenciável,86
importância,41
sólida,2
aproximação,13
Bozo,55
vetado,2
comando,63
exército,105
pro,543
pessoal,328
acha,550
automaticamente,34
recomendo,24
cérebro,102
dinheiro,334
triplex,10
Aecio,33
roubou,52
pintar,9
unha,14
vermelho,74
calor,3
fdp,136
basicamente,10
precisam,98
regionais,4
assumam,4
caso,574
América,20
atualmente,31
atender,8
chamado,121
mudará,17
gente,1816
uniu,3
torcendo,29
Croácia,90
unir,83
imploro,9
senador,133
RJ,138
10H,3
domingo,77
centro,132
mudar,348
eleitor,149
candidato,1462
clube,22
sigam,12
RT,131
tweet,161
seguir,122
mostrar,209
dinastia,5
monárquica,1
Calma,76
República,8
Supremo,21
segue,135
frente,210
levantamento,5
Marina,51
Ciro,273
dias,260
Geraldo,19
Alckmin,499
opinião,436
pessoa,895
preparada,14
deputado,385
LulaLivre,130
federal,5
presidência,80
defendeu,50
policiais,73
participaram,1
Exato,42
Dr,36
Dilma,160
eleição,421
transformou,17
eleger,177
entrar,165
fácil,272
decidir,85
voto,1225
chupando,17
pinto,8
fazenda,25
ex,144
prefeito,155
Ari,2
basso,1
Tribunal,3
união,60
pagar,177
extravio,1
MEC,22
homenageia,5
acostumando,18
mídia,553
fake,24
surgiram,3
bandidagem,53
BolsonaroPresidente,341
venceria,5
presidiário,102
divulgado,8
pesquisa,383
realizada,5
funciona,83
servisse,1
general,92
lutando,40
sociais,51
porem,36
impossível,76
esquerda,1969
implantada,4
governo,526
alguém,899
pensa,247
igual,493
mim,577
alguma,394
alternativa,47
desespero,277
firme,54
turno,343
frase,206
fralda,3
boca,121
dó,46
fico,148
perguntando,21
realmente,497
queremos,131
posicionar,25
IM,8
deixam,28
declaro,2
questionado,15
manter,3
buscar,35
solução,112
melhor,809
bate,13
SP,37
ES,12
rs,163
Reinscrito,1
hehehe,27
levar,100
levou,32
coronel,30
torturador,45
brilhante,20
Ustra,32
virou,150
estampa,5
virtuais,8
PSL,17
Argentina,17
Chile,16
militares,203
vergonha,329
define,30
chamada,76
explicar,132
conto,39
recuperar,19
seguidores,195
conta,401
Twitter,207
eleitoral,93
seguido,34
Fernando,27
Haddad,36
Manuela,55
Meirelles,78
João,46
Amoêdo,54
confiança,41
MS,19
prefeitura,39
derruba,8
outdoor,51
acabaremos,2
angústia,4
mentalidade,16
descentralização,2
federativo,4
poderes,33
apoiará,22
fechado,48
abro,16
único,216
jornalista,273
conheço,149
Exclusivo,18
interesse,148
segurança,195
Rio,105
continue,66
falida,10
pastor,63
político,882
PSC,4
batizou,4
Senado,142
polícia,116
civil,15
jovem,51
farra,17
fiscal,12
legado,15
deixado,10
país,1421
passará,15
vendendo,20
esperança,105
salvá,2
lo,265
intenção,49
feita,97
reino,10
criticou,26
cúpula,13
esquerdista,524
Foro,52
roubar,62
vota,263
Ah,374
Concordo,311
entendo,249
leva,51
votar,369
nele,138
desesperada,41
Nine,4
Boulos,145
Globo,463
odeiam,52
Entendam,21
ruim,304
esquerdalha,80
Bruno,18
produz,21
graça,164
começa,101
falar,927
usando,188
racista,110
fala,769
coisas,565
escolher,125
certo,610
proprios,2
escolhem,8
opção,244
cumprir,32
cara,2603
descaradamente,19
devia,96
violência,176
criminosa,33
kkkk,505
tirou,60
férias,21
cargo,145
fazendo,365
campanha,331
público,135
política,798
VSF,20
colocado,45
particular,23
colocaram,46
pedindo,81
liberdade,152
Luladrão,92
Londrina,5
fizeram,181
resposta,253
diferença,208
Jesus,155
queima,9
praga,40
plorifere,1
recebendo,35
declarar,65
engraçado,285
muita,410
critica,91
prefiro,164
omitir,6
Processem,2
proprietário,8
apoiadores,100
sofreram,7
dano,13
material,27
moral,198
medida,70
ato,102
autoritário,33
expressão,37
Constituição,68
briga,66
Planalto,28
candidatura,73
definir,5
Folha,56
descobriu,24
jato,7
fraude,109
aspecto,24
chance,281
descobrir,44
outubro,233
condições,62
avento,1
apocalipse,19
hj,278
Vicente,6
amanhã,49
registro,14
abaixo,60
passarei,2
Sorocaba,10
Bauru,5
Prudente,2
BH,8
MG,31
Janeiro,39
preto,44
franca,8
Piracicaba,8
Foz,4
PR,176
plano,152
reforma,68
aposentadoria,5
semelhante,17
direto,52
SemanaRenova,8
defender,392
terra,90
deviam,9
deveria,209
declarações,54
irresponsável,20
criminoso,244
desarmamentista,10
pró,47
ideologia,141
gênero,35
aborto,111
pátria,74
tt,83
bêbado,18
boteco,3
choro,46
eterno,28
kkkkkkkkkk,116
incógnita,8
certezas,6
apoie,57
queira,8
