Word,Count
un,11
Aliás,53
zurram,1
ódio,48
classificam,1
fóbico,1
disseram,16
alguma,135
gente,368
inteligente,72
família,117
menino,24
MBL,48
surtou,1
pio,10
postagens,6
racismo,183
Manuela,24
exatamente,55
debatem,2
chingam,1
Bolsonaro,821
estratégia,38
funcionou,6
funciona,37
observam,1
política,372
externa,1
usam,20
chula,1
acham,39
papagaias,1
youtuber,26
compartilhadoras,1
montagens,1
zapzap,1
post,40
classe,23
média,20
trabalhadora,4
esforço,17
diminuir,29
garante,20
preocupe,3
dando,64
podiam,5
MarianaGodoyEntrevista,186
desembarque,1
Fortaleza,14
Impressionante,17
mobilização,1
eleitores,95
capital,39
mover,2
ação,16
reparação,1
última,39
semana,43
Holiday,5
protocolou,1
representação,9
criminal,4
candidato,696
PDT,78
razão,52
ofensa,31
proferida,2
referiu,9
ridícula,13
invadir,5
lo,101
comunista,263
significa,42
seguida,10
equivalem,2
noção,22
processaram,7
tweet,30
feira,26
14h,4
participo,5
AOVIVO,13
diálogo,28
indústria,7
sabatina,4
CNI,75
presidência,11
República,3
perca,14
transmissão,2
página,17
Facebook,16
chame,3
PropostasDaIndústria,3
Eleições2018,60
diferença,71
governado,13
Alckmin,118
Vejamos,8
habitantes,1
Paulo,32
gritava,2
cachorro,9
louco,79
ameaçando,4
xingando,10
seguindo,9
Alkimin,12
imitar,5
faça,49
rir,28
circo,12
ridículo,39
piada,145
massacrado,6
turma,56
imprensa,16
sociais,18
comentário,93
realmente,122
racista,202
político,303
turminha,10
votar,217
nele,63
mole,15
pessoa,104
esquerda,713
falar,423
quiser,45
jamais,66
chamando,14
machismo,69
Lulladrão,1
falando,238
mulheres,77
duro,19
depende,15
fala,537
cangaceiro,57
Sardinha,195
lista,25
Odebrecht,12
EuVotoBolsonaro17,8
Olha,169
grotesca,1
números,41
superinflados,1
encaixa,5
falso,36
Curioso,13
critério,10
cala,6
boca,72
FDP,25
ladrão,56
corrupto,131
coronézinho,10
mierda,1
BOSTÃO,2
Zé,14
sertão,4
lambe,4
frouxo,30
machista,96
VASCULHAR,1
vida,138
cu,62
arrombado,16
absoluta,5
el,25
BIGODON,1
calcinha,3
renda,34
RÓSEA,1
Ustra,5
filho,83
puta,15
mandando,1
ferrar,4
Coroné,170
desesperado,5
vence,9
Ceará,237
único,73
levantar,7
mão,80
sala,9
cheia,13
CiroGomes,161
PDT12,15
Ciro2018,313
pergunto,26
reação,10
situação,36
perdi,5
lendo,8
entrevista,148
respondeu,41
pergunta,219
objetiva,7
chuta,3
sequer,25
conseguiu,46
convencer,19
meia,6
video,15
fascista,79
autoritário,30
violento,5
governo,248
homão,3
forte,61
evento,17
público,81
Temer,92
banqueiro,16
carreira,17
membro,21
apoiado,14
PSDB,84
pretende,55
crescer,27
campanha,147
colando,3
imagem,25
Lula,875
fingir,10
gostam,21
achei,47
pagava,2
macho,43
prazer,19
brother,6
fã,35
cópia,6
adianta,56
bater,34
batuque,2
brasileiro,251
macumbeiro,1
escolha,37
you,6
Talquei,2
daqui,49
volta,77
normal,30
poeira,2
abaixar,3
acusação,14
sustenta,7
engraçado,76
galera,59
pé,41
sido,37
vs,15
ouvi,28
igual,150
música,10
falou,234
coisas,114
pregam,3
sexismo,1
rede,40
movimento,32
negro,60
comete,10
viés,10
esquerdista,155
permitido,6
problema,197
feito,89
pior,223
copa,38
acabando,6
acabar,96
Marina,3
bosta,97
tendenciosa,7
mentira,89
admitiu,7
mentiu,13
tentou,12
justificar,14
classificou,1
ajude,7
criar,38
agência,13
caneta,9
checagem,8
declarou,10
existe,140
mimimi,44
ninguém,248
defendê,1
mudou,21
ideia,182
ministro,83
Fazenda,12
ajudei,2
real,27
superávit,6
história,113
Brasil,1004
Paguei,2
antecedência,5
terror,5
medo,119
