Word,Count
Oi,120
aumentar,73
combustíveis,4
Temer,166
entregando,10
empresa,250
estrangeira,2
naum,2
achei,321
Olha,495
ai,458
responde,251
pedagio,3
acha,793
justo,121
Chupa,69
Nestlé,1
importam,15
chineses,9
exageradamente,3
incluindo,22
receita,20
federal,34
Auditores,1
baterem,4
meta,26
ganharem,10
Extra,7
salário,123
privatize,1
mostra,210
levantamento,8
feito,241
Instituto,20
InternetLab,1
centro,47
dedicado,5
direito,534
tecnologia,38
formar,29
governo,656
kkkkkkkkkkkkkk,74
idade,107
mental,47
Moro,197
dinheiro,384
auxílio,19
moradia,4
totalmente,166
público,180
Géntem,1
criticando,40
desfilar,7
Iorque,12
empoderada,13
montar,16
enxoval,33
capitalista,225
big,5
Apple,6
arrasou,120
lacre,42
miga,27
pressão,33
popular,46
afronta,14
pluralidade,8
tolerância,27
aceita,72
COMBOIO,1
inferno,59
Kkkkkkkkkkkk,92
post,142
eh,306
fechar,26
Kkkkkkkkkkkkkkk,53
eleitor,95
Bolsonaro,1144
tira,85
foto,191
chama,234
PF,36
escandalo,4
amidia,1
agredido,10
verbalmente,6
1lunática,1
bêbada,33
afasta,6
pro,544
banheiro,19
aguarda,7
esquerda,1912
lixo,449
Manu,1384
lacrando,33
Band,53
BandEleicoes,5
ManuNaBand,12
Manu2018,349
deixaram,68
bostejar,22
espero,199
filho,385
gay,144
fã,89
cruz,5
credo,29
desmascarada,9
meretíssimo,1
jamais,175
bosteja,7
boca,87
cabeça,254
merda,704
Manuela,2042
sentando,2
cacete,29
pense,36
menina,222
porreta,3
linda,205
mundo,996
amamentar,20
mãe,338
bebê,71
quiserem,21
la,333
homenagem,15
vvittar,1
esquecer,30
aprovação,11
PL,20
veneno,24
comissão,7
Câmara,20
votem,18
claro,457
indoneidade,1
falar,1356
jogar,61
números,85
quiser,192
comprovar,9
veracidade,5
igreja,28
católica,1
julgam,5
inquisição,40
luz,50
maconheira,32
bostejando,11
suja,33
inútil,61
querendo,252
aparecer,78
comparar,62
regime,189
responsável,36
genocídio,35
escala,11
global,19
cristianismo,41
ignorância,204
extrema,110
burrice,148
história,404
humanidade,57
autoritário,25
condenações,9
morte,241
Cristo,22
comunismo,935
passar,142
congresso,96
iPhone,81
vejo,276
mão,226
comuna,190
distorcendo,9
cagando,15
setor,27
elétrico,1
roubado,17
confiança,17
ineficiência,7
incompetência,49
saqueado,33
anta,143
Dilma,413
resolveu,25
desconto,14
reeleger,3
pagar,167
conta,361
