Word,Count
Media,2
es,4
vía,24
manhã,6
Marina,24
participa,3
sabatina,20
presidenciáveis,13
Acompanhe,5
vivo,24
Facebook,15
Ah,38
dormir,9
PRB,1
rever,5
caso,52
Temer,17
candidato,183
reeleição,16
história,28
interrompida,51
vítima,6
machismo,54
entrevista,102
programa,65
ajude,4
criar,11
agência,3
caneta,8
vale,25
corrupto,42
coragem,18
governo,73
Lula,295
chefe,5
quadrilha,8
dinheiro,19
BNDES,12
Eike,7
dedo,4
Batista,3
torrou,2
bilhões,7
emprestou,3
pensou,6
investido,3
empreendedorismo,2
comunitário,1
Alckmin,43
Bolsonaro,224
ranking,3
perfis,2
twitter,30
Alvaro,1
Manuela,89
InternetLab,4
banqueiro,4
carreira,9
membro,5
apoiado,11
PSDB,7
pretende,11
crescer,8
campanha,83
colando,1
imagem,14
Identificamos,1
una,11
eleitora,6
vendo,17
existem,8
hahahaha,15
10h00,2
evento,18
Brasil,295
comentar,5
fala,111
tag,4
MarinaNaCNI,13
Participem,1
mentiu,2
gravando,1
comercial,4
falar,118
salvou,1
economia,21
lembra,16
país,128
segue,20
estagnado,2
Meirelles,10
ataca,20
negaria,1
voto,201
homem,27
carisma,9
cabe,2
foto,23
puta,6
discussão,13
cara,86
vota,14
respondeu,11
tweet,26
perguntava,3
votar,75
falei,9
tava,27
falando,71
veio,12
tweetou,1
sujeito,5
resposta,33
ai,55
atinge,2
máxima,2
histórica,1
desidrata,1
2º,5
mostra,33
pesquisa,149
InfoMoney,1
mídia,37
descartando,1
protegeu,3
marido,27
ACUSAÇÃO,1
RECEBIMENTO,2
madeira,7
ilegal,1
fake,6
ministra,5
ambiente,24
falsamente,1
acusado,7
provou,3
recebeu,7
desviou,2
Espalhe,2
hehehe,3
Lobão,2
dd,3
vontade,20
printar,1
time,7
candidate,8
Lembrei,3
porem,1
perigo,2
países,7
avançados,1
tecnologia,6
fogem,1
brasileiro,68
aceita,8
Alias,4
gasolina,2
politico,12
ladrão,19
elegem,2
passa,12
liderança,21
capacitada,3
presidente,127
Marina2018,75
gente,113
gosta,27
Gostam,3
Cuba,7
Venezuela,14
Nicarágua,1
porcaria,1
comunista,93
socialista,16
jamais,33
votaria,21
vermelha,5
lulista,5
SomosMarina,4
sai,33
kkkkk,55
velha,9
política,125
espaço,6
atuais,3
sentir,1
pena,12
achou,4
Mito,7
correndo,4
sinto,10
amigo,54
Flamengo,3
Considerando,9
sair,28
vice,19
assaltou,1
acha,47
VP,1
diferente,32
Roberto,4
Jefferson,1
Marcelo,2
Bretas,3
Leilane,2
Neubart,1
Leitão,1
lembro,15
turma,15
bloqueia,2
opinião,55
contrariada,1
claque,3
block,3
comerciantes,1
Dénia,8
advierten,1
pérdidas,1
hasta,4
el,45
Inauguran,1
pérgola,1
ayuda,3
romper,3
la,70
rutina,1
del,5
hospital,1
Pedrera,1
Oloko,1
td,7
metralhadora,1
explicar,11
necessário,11
vida,53
cidadão,18
produz,2
movimento,12
sustentar,2
oligarquias,1
cidadões,1
noção,9
patrão,1
aliou,3
mensaleiro,2
TV,23
segundos,6
continue,5
venda,2
alma,6
dizerem,2
aborto,35
via,54
populismo,5
melhor,103
dizendo,30
Parabéns,39
ministro,22
ChamaOMeirelles,1
enorme,9
retrocesso,6
aprovação,1
parecer,4
projeto,18
lei,22
especial,3
Câmara,13
flexibiliza,1
uso,9
comércio,1
PLdoVeneno,4
ChegaDeAgrotóxicos,1
apresentou,5
agenda,14
assessoria,5
oportunidade,17
discuti,1
ouviremos,1
Participarão,1
José,8
Augusto,3
Fernandes,1
ENAI2018,2
alguma,46
possibilidade,8
errado,12
levantamento,12
ganhando,13
inclui,3
coisas,31
eleitor,33
afasta,3
combina,1
marqueteiro,5
Duda,1
Mendonça,1
certo,28
floresta,10
Bosque,1
esperança,9
mudou,10
maravilhoso,5
mundo,48
forneceu,1
culpa,13
República,7
Angola,1
Atentem,2
seguidores,21
gestação,1
veem,1
omissão,3
inapetência,1
silêncio,6
PT,144
roubou,4
enfim,7
debate,94
apoiador,1
Aécio,55
Neves,3
fiel,6
companheiro,5
Malafaia,11
igual,52
nota,9
reais,14
Deus,67
livre,9
Credo,6
omg,2
homenagem,4
Folha,10
descobriu,1
motivo,30
óbvio,8
pergunta,65
responde,9
entrevistador,10
PASSAGERIA,1
sócio,6
Cabral,3
senhora,111
partido,102
posicionamento,32
político,93
esquerda,161
milhões,17
cleptocrata,1
PMDB,4
MDB,6
condenado,20
liga,10
dona,20
toxico,1
tóxico,3
plebiscito,41
discutir,7
Ibope,40
turno,85
clareza,4
oq,18
