Word,Count
Jucá,4
Meirelles,63
candidato,121
MDB,91
Eleições2018,15
ex,9
ministro,22
julho,2
data,2
prevista,1
nacional,16
conseguir,8
reunir,1
diretórios,3
estaduais,3
partido,89
reunião,5
Executiva,3
terça,2
feira,13
jul,2
manter,7
candidatura,28
continuará,3
costura,1
torno,2
corrida,6
Planalto,11
porra,10
precisa,31
cara,65
bilionário,2
Temer,69
banqueiro,15
carreira,8
membro,5
governo,110
apoiado,3
PSDB,43
pretende,8
crescer,9
campanha,80
colando,1
imagem,1
Lula,104
tenta,7
mentiu,1
votar,56
política,33
toma,4
agindo,2
bastidores,2
veme,1
santo,12
carregará,1
roubando,2
dinheiro,33
público,17
gravando,1
comercial,2
falar,32
salvou,6
economia,86
lembra,4
país,92
segue,9
Estagnado,1
vídeo,12
ataca,6
Ciro,16
Bolsonaro,133
Marina,20
Alckmin,59
negaria,1
voto,84
homem,21
carisma,5
cabe,1
foto,14
Sr,35
turma,7
maconha,1
Independente,7
mídia,21
descartando,1
legalização,2
Vazei,1
Tocantins,5
entusiasmo,1
Amanhã,5
agenda,10
Brasília,3
Belém,8
frente,22
ChamaOMeirelles,161
participar,3
diálogo,9
pré,15
promovido,5
Confederação,1
indústria,5
acompanhar,5
VIVO,8
perfil,11
sociais,7
ginga,1
brasileiro,57
Ritmo,1
contagia,1
precisamos,14
acreditar,7
alguém,32
diferença,16
fizemos,1
problema,47
apoiadores,2
bancada,9
Congresso,19
tb,6
importa,5
acima,7
média,4
covardia,2
sai,13
kkkkk,15
velha,5
espaço,6
Dias,5
atuais,2
sentir,1
pena,14
ja,10
chamar,18
Caralho,2
arrumar,3
votinhos,1
Meireles,14
consegue,9
tosco,1
engenheiro,7
profissional,7
preparado,13
gerenciar,1
dormir,4
aparece,5
propaganda,11
instagram,2
puta,4
repara,1
carinha,2
satisfação,1
futuro,11
nenhum,24
colar,5
gravar,1
destacando,1
presidente,106
Banco,6
Central,1
Meireilles,1
vinculação,1
vista,5
trunfo,1
Sorriso,2
espontâneo,1
acompanhado,1
honroso,1
governador,8
sacaneando,1
Temporada,1
caça,3
pobre,8
Oloko,1
td,3
metralhadora,1
presidenciável,11
APROVEITOU,1
DANÇOU,1
DANÇARÁ,1
Hahaha,6
técnico,9
altíssimo,1
querendo,13
popular,2
lembrou,3
nerds,1
baladas,1
dó,2
Executou,1
triunvirato,1
marketeiro,2
beijou,1
criança,11
ranhenta,1
abraçou,2
poço,5
simpatia,3
encontro,10
Campinas,4
liderado,1
amigo,28
Paulo,15
Skaf,2
noção,2
gente,47
chato,6
Deus,12
livre,7
senhor,58
inspiradora,1
história,25
Bozo,14
começa,4
surgir,1
politica,11
Copa2018,2
inteligente,4
acredita,16
patrão,2
remexendo,1
ne,3
quartos,1
Calma,4
populismo,15
melhor,72
dizendo,9
Parabéns,19
Eh,5
Adm,2
entrou,4
descer,1
lenha,1
invés,6
mostrar,9
plano,10
elege,2
síndico,2
Qto,1
moça,3
ganhou,8
afirmo,2
cogitam,1
Brasil,195
fácil,16
difícil,16
Atah,1
bancando,3
correndo,5
sonho,9
usando,5
bolso,16
inédita,2
surpresa,1
ruim,3
Bora,15
Carta,2
jámorreu,1
preula,1
kkk,9
CNI,16
apresentou,2
assessoria,4
oportunidade,8
discuti,1
la,3
ouviremos,1
Participarão,1
José,3
Augusto,1
Fernandes,1
ENAI2018,2
